order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,payment_method,order_status
ORD-001,CUS-001,PROD-101,2026-08-01,2,499.99,999.98,Credit card,Delivered
ORD-002,CUS-002,PROD-102,2026-08-01,1,1299.5,1299.5,GCash,Delivered
ORD-003,CUS-003,PROD-103,2026-08-02,3,199.99,599.97,Credit card,Shipped
ORD-004,CUS-001,PROD-104,2026-08-03,1,2499.0,2499.0,PayPal,Cancelled
ORD-005,CUS-004,PROD-101,2026-08-03,2,499.99,999.98,GCash,Delivered
ORD-006,CUS-005,PROD-105,2026-08-04,1,899.0,899.0,Credit card,Delivered
ORD-007,CUS-006,PROD-106,2026-08-05,4,149.5,598.0,Cash,Shipped
ORD-008,CUS-002,PROD-107,2026-08-05,1,3499.0,3499.0,GCash,Delivered
ORD-009,CUS-007,PROD-103,2026-08-06,2,199.99,399.98,PayPal,Delivered
ORD-010,CUS-008,PROD-108,2026-08-07,1,799.0,799.0,Credit card,Processing
ORD-011,CUS-009,PROD-109,2026-08-08,2,599.0,1198.0,GCash,Delivered
ORD-012,CUS-010,PROD-110,2026-08-09,1,1599.0,1599.0,Credit card,Delivered
ORD-013,CUS-011,PROD-111,2026-08-10,2,750.0,1000.0,GCash,Delivered
ORD-014,Unknown,PROD-112,2026-08-10,1,450.0,450.0,Cash,Delivered
ORD-015,CUS-012,PROD-113,2026-08-11,2,300.0,600.0,Credit card,Delivered
ORD-016,CUS-013,PROD-114,2026-08-12,1,999.0,999.0,Credit card,Delivered
ORD-017,CUS-014,PROD-115,2026-08-12,1,1200.0,1200.0,GCash,Delivered
ORD-018,CUS-015,PROD-116,2026-08-13,1,850.0,850.0,PayPal,Delivered
