ticket_id,customer_id,order_id,ticket_date,category,priority,status,resolution_date
TKT-001,CUS-001,ORD-001,2026-08-02,Delivery,High,Resolved,2026-08-03
TKT-002,CUS-002,ORD-002,2026-08-03,Payment,Medium,Open,
TKT-003,CUS-003,ORD-003,2026-08-04,Product,High,Resolved,2026-08-05
TKT-004,CUS-004,ORD-005,2026-08-05,Delivery,Low,Closed,2026-08-06
TKT-005,CUS-005,ORD-006,2026-08-06,Payment,Medium,Open,
TKT-006,CUS-999,ORD-007,2026-08-07,Delivery,High,Open,
TKT-007,CUS-006,ORD-999,2026-08-08,Product,Low,Resolved,2026-08-09
TKT-008,CUS-007,ORD-009,2026-08-10,Delivery,High,Resolved,2026-08-09
TKT-009,CUS-008,ORD-010,2026-08-10,Payment,Medium,Open,
TKT-010,CUS-009,ORD-011,2026-08-11,Delivery,Low,Closed,2026-08-12
TKT-011,Unknown,ORD-012,2026-08-12,Product,Medium,Open,
TKT-012,CUS-010,ORD-012,2026-08-13,Payment,Low,Open,
